25 20
#############            
#..........w#    ########
#...s...s...######......#
#....................o..#
#...........######......#
#.....s.....#    #......#
#a..........#    #..o...#
#...........#    #......#
#####..######    ###..###
    #..#           #..#  
    #..#           #..#  
    #..#         ###..###
  ###..####      #...m..#
  #..p....#      #......#
  #.......#      #......#
  #.......#      #......#
  #.......#      #..m...#
  #.......#      #......#
  #.......#      #......#
  #########      ########
